start,end,start(ms),end(ms),I0(pA),I1(pA),begin
4185548,4185586,8371.096000,8371.172000,-11345.858485,-11090.530189,4185586
4218556,4218665,8437.112000,8437.330000,-11350.947020,-11051.177878,4218583
4257873,4257951,8515.746000,8515.902000,-11359.042555,-11098.574219,4257951
4312248,4319220,8624.496000,8638.440000,-11336.393555,-11065.174426,4312284
4402441,4402465,8804.882000,8804.930000,-11349.209060,-11157.539388,4402465
4477986,4478137,8955.972000,8956.274000,-11356.629744,-11027.538596,4478049
4512015,4512186,9024.030000,9024.372000,-11342.705837,-11049.476060,4512114
4527673,4528056,9055.346000,9056.112000,-11336.467266,-11065.296100,4527706
4532458,4532487,9064.916000,9064.974000,-11350.531442,-11093.954183,4532487
4584463,4584497,9168.926000,9168.994000,-11339.003474,-11096.824041,4584497
4768979,4769308,9537.958000,9538.616000,-11349.391442,-11070.064698,4769005
4802607,4802741,9605.214000,9605.482000,-11348.802260,-11054.882572,4802638
4873752,4873778,9747.504000,9747.556000,-11335.518604,-11092.872070,4873778
5036307,5036567,10072.614000,10073.134000,-11360.887495,-11096.172974,5036348
5042506,5042602,10085.012000,10085.204000,-11352.592898,-11048.700718,5042535
5186990,5187126,10373.980000,10374.252000,-11353.828114,-11074.417643,5187017
5189269,5189463,10378.538000,10378.926000,-11354.859450,-11077.211860,5189300
5191472,5191493,10382.944000,10382.986000,-11352.087256,-11179.275065,5191493
5295876,5295920,10591.752000,10591.840000,-11359.865412,-11102.144531,5295920
5315599,5315629,10631.198000,10631.258000,-11351.967285,-11171.087158,5315629
5322583,5322807,10645.166000,10645.614000,-11346.763847,-11062.343244,5322626
5342562,5342588,10685.124000,10685.176000,-11358.580797,-11100.357347,5342588
5369909,5370104,10739.818000,10740.208000,-11354.743508,-11055.144115,5369952
5374577,5374596,10749.154000,10749.192000,-11353.787877,-11113.495675,5374596
5430021,5430683,10860.042000,10861.366000,-11353.589333,-11054.294488,5430054
5450082,5450132,10900.164000,10900.264000,-11366.663983,-11160.294556,5450132
5461043,5461141,10922.086000,10922.282000,-11355.662930,-11129.281918,5461072
5491578,5491615,10983.156000,10983.230000,-11352.265479,-11095.590681,5491615
5516881,5517006,11033.762000,11034.012000,-11351.709694,-11094.994273,5516947
5541921,5552684,11083.842000,11105.368000,-11367.587024,-11061.736746,5541948
5644965,5644998,11289.930000,11289.996000,-11366.574922,-11217.705729,5644998
5650779,5650937,11301.558000,11301.874000,-11373.691148,-11098.212278,5650838
5663276,5663927,11326.552000,11327.854000,-11361.113977,-11079.036924,5663320
5709012,5709077,11418.024000,11418.154000,-11361.506196,-11113.195786,5709056
5748931,5748963,11497.862000,11497.926000,-11369.286289,-11079.928977,5748963
5809230,5809254,11618.460000,11618.508000,-11365.185482,-11150.119531,5809254
5818630,5818681,11637.260000,11637.362000,-11368.681627,-11065.826833,5818665
5844480,5845917,11688.960000,11691.834000,-11368.348222,-11074.060317,5844520
5848116,5857014,11696.232000,11714.028000,-11375.749121,-11082.907208,5848141
5894240,5894289,11788.480000,11788.578000,-11362.044320,-11195.192383,5894289
5908855,5909020,11817.710000,11818.040000,-11374.478090,-11116.676086,5908895
5927934,5927984,11855.868000,11855.968000,-11382.099153,-11138.706576,5927984
5973405,5973475,11946.810000,11946.950000,-11370.017193,-11091.866311,5973442
6007845,6007877,12015.690000,12015.754000,-11369.379663,-11195.769531,6007877
6070404,6070463,12140.808000,12140.926000,-11362.890030,-11116.616968,6070436
6197031,6197061,12394.062000,12394.122000,-11375.263249,-11191.534598,6197061
6205753,6206463,12411.506000,12412.926000,-11370.304660,-11074.348819,6205813
6209799,6209891,12419.598000,12419.782000,-11372.479343,-11102.097065,6209836
6255434,6295331,12510.868000,12590.662000,-11361.672445,-11101.966502,6255469
6332201,6332910,12664.402000,12665.820000,-11370.080921,-11095.478345,6332231
6343594,6343630,12687.188000,12687.260000,-11370.134381,-11193.110547,6343630
6351494,6351679,12702.988000,12703.358000,-11377.339183,-11087.571240,6351533
6367330,6367353,12734.660000,12734.706000,-11364.217490,-11192.273438,6367353
6378422,6378489,12756.844000,12756.978000,-11358.543588,-11093.985919,6378460
6378755,6378908,12757.510000,12757.816000,-11358.954410,-11099.129232,6378788
6396710,6397509,12793.420000,12795.018000,-11371.007951,-11104.819413,6396739
6489047,6489191,12978.094000,12978.382000,-11365.181471,-11071.979865,6489117
6626159,6626181,13252.318000,13252.362000,-11375.023237,-11175.226842,6626181
6629889,6630038,13259.778000,13260.076000,-11376.505991,-11110.300264,6629933
6640650,6640665,13281.300000,13281.330000,-11373.597821,-11205.503418,6640665
6667855,6667886,13335.710000,13335.772000,-11372.703073,-11127.310710,6667886
6740663,6740690,13481.326000,13481.380000,-11346.360277,-11059.756160,6740690
6745234,6745253,13490.468000,13490.506000,-11356.467888,-11184.427979,6745253
6770469,6770539,13540.938000,13541.078000,-11343.351030,-11112.259969,6770505
6774906,6774952,13549.812000,13549.904000,-11346.099223,-11107.953320,6774952
6861608,6861819,13723.216000,13723.638000,-11360.131375,-11085.580373,6861642
6874992,6875017,13749.984000,13750.034000,-11350.337971,-11092.960254,6875017
6906197,6906303,13812.394000,13812.606000,-11347.558978,-11087.802550,6906240
6983854,6984072,13967.708000,13968.144000,-11342.912326,-11063.132503,6983884
7001480,7001506,14002.960000,14003.012000,-11350.299075,-11105.354818,7001506
7069157,7069665,14138.314000,14139.330000,-11349.907553,-11041.561457,7069208
7176973,7177012,14353.946000,14354.024000,-11355.667726,-11144.287667,7177012
7259618,7259824,14519.236000,14519.648000,-11363.778861,-11075.164047,7259646
7442682,7442719,14885.364000,14885.438000,-11393.208973,-11150.002767,7442719
7460732,7460768,14921.464000,14921.536000,-11394.304734,-11148.461470,7460768
7515604,7515711,15031.208000,15031.422000,-11390.263729,-11066.550009,7515642
7525108,7525156,15050.216000,15050.312000,-11386.296512,-11107.999163,7525156
7634006,7634045,15268.012000,15268.090000,-11398.137959,-11244.511719,7634045
7728314,7728359,15456.628000,15456.718000,-11390.875788,-11119.161433,7728359
7736238,7736328,15472.476000,15472.656000,-11389.798748,-11136.159204,7736299
7784499,7789149,15568.998000,15578.298000,-11379.401953,-11094.038785,7784541
7849686,7849751,15699.372000,15699.502000,-11379.940450,-11098.189338,7849718
7898627,7898665,15797.254000,15797.330000,-11387.424303,-11147.541992,7898665
7958984,7959074,15917.968000,15918.148000,-11387.457031,-11127.811484,7959011
